natx =       55
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
      1.95600      1.95600      0.00000   1      2.76620
     -1.95600      1.95600      0.00000   1      2.76620
      1.95600     -1.95600      0.00000   1      2.76620
     -1.95600     -1.95600      0.00000   1      2.76620
      1.95600      0.00000      1.95600   1      2.76620
     -1.95600      0.00000      1.95600   1      2.76620
      0.00000      1.95600      1.95600   1      2.76620
      0.00000     -1.95600      1.95600   1      2.76620
      1.95600      0.00000     -1.95600   1      2.76620
     -1.95600      0.00000     -1.95600   1      2.76620
      0.00000      1.95600     -1.95600   1      2.76620
      0.00000     -1.95600     -1.95600   1      2.76620
      3.91200      0.00000      0.00000   1      3.91200
     -3.91200      0.00000      0.00000   1      3.91200
      0.00000      3.91200      0.00000   1      3.91200
      0.00000     -3.91200      0.00000   1      3.91200
      0.00000      0.00000      3.91200   1      3.91200
      0.00000      0.00000     -3.91200   1      3.91200
      3.91200      1.95600      1.95600   1      4.79120
     -3.91200      1.95600      1.95600   1      4.79120
      1.95600      3.91200      1.95600   1      4.79120
     -1.95600      3.91200      1.95600   1      4.79120
      3.91200     -1.95600      1.95600   1      4.79120
     -3.91200     -1.95600      1.95600   1      4.79120
      1.95600     -3.91200      1.95600   1      4.79120
     -1.95600     -3.91200      1.95600   1      4.79120
      1.95600      1.95600      3.91200   1      4.79120
     -1.95600      1.95600      3.91200   1      4.79120
      1.95600     -1.95600      3.91200   1      4.79120
     -1.95600     -1.95600      3.91200   1      4.79120
      3.91200      1.95600     -1.95600   1      4.79120
     -3.91200      1.95600     -1.95600   1      4.79120
      1.95600      3.91200     -1.95600   1      4.79120
     -1.95600      3.91200     -1.95600   1      4.79120
      3.91200     -1.95600     -1.95600   1      4.79120
     -3.91200     -1.95600     -1.95600   1      4.79120
      1.95600     -3.91200     -1.95600   1      4.79120
     -1.95600     -3.91200     -1.95600   1      4.79120
      1.95600      1.95600     -3.91200   1      4.79120
     -1.95600      1.95600     -3.91200   1      4.79120
      1.95600     -1.95600     -3.91200   1      4.79120
     -1.95600     -1.95600     -3.91200   1      4.79120
      3.91200      3.91200      0.00000   1      5.53240
     -3.91200      3.91200      0.00000   1      5.53240
      3.91200     -3.91200      0.00000   1      5.53240
     -3.91200     -3.91200      0.00000   1      5.53240
      3.91200      0.00000      3.91200   1      5.53240
     -3.91200      0.00000      3.91200   1      5.53240
      0.00000      3.91200      3.91200   1      5.53240
      0.00000     -3.91200      3.91200   1      5.53240
      3.91200      0.00000     -3.91200   1      5.53240
     -3.91200      0.00000     -3.91200   1      5.53240
      0.00000      3.91200     -3.91200   1      5.53240
      0.00000     -3.91200     -3.91200   1      5.53240
