 Temperature (Hatree) = 0
 Electronic Temperature (eV) = 0
 xloss =    3.5853999999999999       eV
 efermi =   -7.2675180499999987       eV
 Number of poles = 0
 Omega(Hart)    Re CCHI     Im CCHI   1-Fermi   Re xmu0    Im xmu0
  -0.2104541718E+001  -0.1520214967E-004   0.2641395152E-004   0.2278636260E-001  -0.6671600000E-003   0.1159200000E-002
  -0.2067792409E+001  -0.1551130631E-004   0.2695111558E-004   0.2324975464E-001  -0.6671600000E-003   0.1159200000E-002
  -0.2031043100E+001  -0.1583327443E-004   0.2751053978E-004   0.2373234970E-001  -0.6671600000E-003   0.1159200000E-002
  -0.1994293791E+001  -0.1616886567E-004   0.2809363434E-004   0.2423536434E-001  -0.6671600000E-003   0.1159200000E-002
  -0.1957544482E+001  -0.1651896157E-004   0.2870193095E-004   0.2476011986E-001  -0.6671600000E-003   0.1159200000E-002
  -0.1920795173E+001  -0.1688452122E-004   0.2933709605E-004   0.2530805387E-001  -0.6671600000E-003   0.1159200000E-002
  -0.1884045864E+001  -0.1726659000E-004   0.3000094599E-004   0.2588073326E-001  -0.6671600000E-003   0.1159200000E-002
  -0.1847296555E+001  -0.1766630945E-004   0.3069546423E-004   0.2647986908E-001  -0.6671600000E-003   0.1159200000E-002
  -0.1810547246E+001  -0.1808492859E-004   0.3142282094E-004   0.2710733346E-001  -0.6671600000E-003   0.1159200000E-002
  -0.1773797937E+001  -0.1852381680E-004   0.3218539546E-004   0.2776517897E-001  -0.6671600000E-003   0.1159200000E-002
  -0.1737048628E+001  -0.1898447868E-004   0.3298580204E-004   0.2845566084E-001  -0.6671600000E-003   0.1159200000E-002
  -0.1700299319E+001  -0.1946857110E-004   0.3382691950E-004   0.2918126251E-001  -0.6671600000E-003   0.1159200000E-002
  -0.1663550010E+001  -0.1997792286E-004   0.3471192544E-004   0.2994472519E-001  -0.6671600000E-003   0.1159200000E-002
  -0.1626800701E+001  -0.2051455758E-004   0.3564433592E-004   0.3074908205E-001  -0.6671600000E-003   0.1159200000E-002
  -0.1590051392E+001  -0.2108072024E-004   0.3662805159E-004   0.3159769806E-001  -0.6671600000E-003   0.1159200000E-002
  -0.1553302083E+001  -0.2167890814E-004   0.3766741159E-004   0.3249431642E-001  -0.6671600000E-003   0.1159200000E-002
  -0.1516552774E+001  -0.2231190732E-004   0.3876725667E-004   0.3344311307E-001  -0.6671600000E-003   0.1159200000E-002
  -0.1479803465E+001  -0.2298283526E-004   0.3993300354E-004   0.3444876081E-001  -0.6671600000E-003   0.1159200000E-002
  -0.1443054156E+001  -0.2369519158E-004   0.4117073278E-004   0.3551650516E-001  -0.6671600000E-003   0.1159200000E-002
  -0.1406304847E+001  -0.2445291805E-004   0.4248729331E-004   0.3665225441E-001  -0.6671600000E-003   0.1159200000E-002
  -0.1369555538E+001  -0.2526047042E-004   0.4389042705E-004   0.3786268724E-001  -0.6671600000E-003   0.1159200000E-002
  -0.1332806229E+001  -0.2612290453E-004   0.4538891860E-004   0.3915538182E-001  -0.6671600000E-003   0.1159200000E-002
  -0.1296056920E+001  -0.2704598029E-004   0.4699277587E-004   0.4053897159E-001  -0.6671600000E-003   0.1159200000E-002
  -0.1259307611E+001  -0.2803628785E-004   0.4871344936E-004   0.4202333451E-001  -0.6671600000E-003   0.1159200000E-002
  -0.1222558302E+001  -0.2910140183E-004   0.5056410006E-004   0.4361982407E-001  -0.6671600000E-003   0.1159200000E-002
  -0.1185808993E+001  -0.3025007084E-004   0.5255992883E-004   0.4534155351E-001  -0.6671600000E-003   0.1159200000E-002
  -0.1149059684E+001  -0.3149245237E-004   0.5471858443E-004   0.4720374778E-001  -0.6671600000E-003   0.1159200000E-002
